,corp_code,corp_name,stock_code
1164,00425351,멀티캠퍼스,67280
670,00422284,메가스터디,72870
2051,01074862,메가스터디교육,215200
1147,00807555,메가엠디,133750
2003,00923516,메가터치,446540
1598,01336373,메드팩토,235980
2207,01018617,메디쎄이,200580
1709,00273439,메디아나,41920
2294,01035942,메디안디노스틱,233250
2383,00267854,메디앙스,14100
1268,01023822,메디젠휴먼케어,236340
1558,00356839,메디콕스,54180
2134,00580199,메디톡스,86900
2126,00453929,메디포스트,78160
362,00860332,메리츠금융지주,138040
1718,01596656,메쎄이상,408920
944,00136101,메이슨캐피탈,21880
605,00808022,메지온,140410
1399,00652007,메카로,241770
1888,00442835,메타랩스,90370
2284,00317681,메타바이오메드,59210
432,00270113,멕아이씨에스,58110
2067,00121039,명문제약,17180
1777,00173078,명신산업,9900
263,00173102,모나리자,12690
308,00121288,모나미,5360
2271,00365989,모나용평,70960
2045,01583652,모니터랩,434480
2245,00480048,모다이노칩,80420
2159,00657783,모델솔루션,417970
1295,00456218,모두투어,80160
71,00556615,모바일어플라이언스,87260
2431,00498001,모베이스,101330
1210,00137234,모베이스전자,12860
1352,01493535,모비데이즈,363260
1024,01210190,모비릭스,348030
1085,01165155,모비스,250060
1691,01423837,모아데이타,288980
1999,00587925,모아라이프플러스,142760
2468,00241209,모아텍,33200
1405,01407158,모코엠시스,333050
2347,00151128,모토닉,9680
435,00876908,모트렉스,118990
1317,00163318,모헨즈,6920
2276,00119007,무림P&P,9580
2277,00121507,무림SP,1810
2280,00136086,무림페이퍼,9200
125,01293388,무진메디,322970
766,00121543,무학,33920
1320,00121570,문배철강,8420
1986,01190124,미디어젠,279600
679,00526836,미래나노텍,95500
662,00299844,미래반도체,254490
1056,00197759,미래산업,25560
2506,01071944,미래생명자원,218150
1480,00104786,미래아이앤지,7120
901,01576102,미래에셋글로벌리츠,396690
1078,01683387,미래에셋드림스팩1호,442900
279,01437292,미래에셋맵스리츠,357250
385,00340096,미래에셋벤처투자,100790
201,01601286,미래에셋비전스팩1호,412930
