corporation,product,description,investment_round,total_investment,revenue,employee_num,keyword
비펙스,비트더비트,캐릭터 수집형 게임 '비트 더 비트'를 개발하는 기업,비공개,비공개,260.9만원,2,"게임캐주얼게임, 프로그래밍개발, B2C, 소프트웨어"
애드빈티지,프레임랩,리클라이너 소파 브랜드 '프레임랩'을 운영하는 기업,M&A,비공개,20.0억원,,"커머스, 제조/하드웨어이커머스, 제조기술, 가구, B2C, 오프라인매장"
오래오랩,포링크,반려동물 생애주기별 맞춤 돌봄 서비스 ‘포링크’를 운영하는 기업,seed (추정),비공개,1.5억원,,"커머스, 홈리빙/펫이커머스, 하드웨어, B2C, 상품판매/브랜드/하드웨어"
사피오스,뉴닷,연재형 스타트업 뉴미디어 '뉴닷'을 운영하는 기업,seed,비공개,-,3,"콘텐츠/예술정기구독, 미디어, B2B, B2C, 스타트업/창업자, WEB"
딥오토,,AI 도입 및 운영을 자동화하는 머신러닝 자동화를 개발하는 기업,비공개,비공개,2.0억원,,"AI/딥테크/블록체인인공지능, 딥러닝/머신러닝, B2B, SaaS/엔터프라이즈"
히카리글로벌,히카리글로벌,B2B 전문 여행사 ‘히카리글로벌’을 운영하는 기업,M&A,비공개,3.8억원,27,"여행/레저숙박, 여행정보, 렌터카, B2B, 렌탈/대여, WEB"
북엔드,AI Deer,AI 한국어 교정 프로그램 'AI Deer' 및 D2C 출판사 '북엔드' 서비스 등을 제공하는 기업,비공개,비공개,"1,391.3만원",9,"커머스, 콘텐츠/예술, AI/딥테크/블록체인이커머스, 출판, 인공지능, B2C, 플랫폼/마켓플레이스"
노보렉스,,"AI 기반으로 GPCR 표적 저분자를 예측 및 검증하여 암, 중추신경질환 등의 치료제를 개발하는 기업",series A,220.0억원,-,21,"헬스케어/바이오, 제조/하드웨어, AI/딥테크/블록체인바이오/의료, 암, 신약, 제조기술, 인공지능, B2B"
그린베이스,재사용배터리평가솔루션,전기차 재사용 배터리 솔루션을 개발하는 기업,pre-A,1.0억원 이상,-,9,"환경/에너지, 통신/보안/데이터배터리, 폐기물, 프로그래밍개발, B2B, SaaS/엔터프라이즈"
오디엔,,내분비 대사질환 대상 디지털 헬스 서비스를 제공하는 기업,seed (추정),비공개,"4,000.0만원",,"헬스케어/바이오디지털헬스케어, 바이오/의료, 다이어트, B2B, B2C"
웰스케어,웰스케어,"재활치료 기술 기반 근골격계, 신경계 질환의 조기치료 및 예방 솔루션을 제공하는 기업",pre-A,비공개,5.0억원,4,"커머스, 헬스케어/바이오, 제조/하드웨어이커머스, 바이오/의료, 스포츠/운동, 골프, 의료기기"
엘오티아이,,3D프린팅용 저산소 고유동성 타이타늄 합금 분말을 개발 및 제조하는 기업,비공개,10.0억원 이상,"4,044.8만원",5,"제조/하드웨어제조기술, 3D프린팅, 하드웨어, B2B"
에스바이오,호클린,플라즈마 무수공법 활용 악취 및 온실가스 저감 시스템 '호클린'을 제공하는 기업,seed,1.0억원 이상,2.2억원,4,"제조/하드웨어, 환경/에너지제조기술, 하드웨어, B2B, 공정/자재/설비, ESG"
호박패밀리,호박식당,패밀리 레스토랑 브랜드 '호박식당' 및 한우 다이닝 브랜드 '한와담' 등을 운영하는 기업,M&A,비공개,138.3억원,237,"푸드/농업신선식품, 가공식품, B2C, 상품판매/브랜드/하드웨어"
신지게임즈,,MMORPG 게임 및 AI 기반 게임 제작공정 개선 기술을 개발하는 기업,비공개,비공개,"7,300.0만원",11,"게임, AI/딥테크/블록체인MMORPG, 프로그래밍개발, 인공지능"
에이치이엠파마,,마이크로바이옴 치료제를 연구하는 기업,비공개,10.0억원,53.4억원,77,"헬스케어/바이오바이오/의료, 신약, 제조기술, B2B"
다다닥헬스케어,,AI 기반 진료 솔루션을 개발하는 기업,비공개,비공개,651.8만원,6,"헬스케어/바이오, AI/딥테크/블록체인바이오/의료, 원격진료, 인공지능, B2C"
멤스룩스,어슴프레,북라이트 브랜드 '어슴프레' 운영하는 기업,비공개,비공개,2.5억원,8,"제조/하드웨어, 홈리빙/펫제조기술, 생활용품/소품, 하드웨어, B2B, B2C"
공기와물,레리치,패션 브랜드 ‘레리치’를 운영하는 기업,seed,비공개,7.4억원,6,"패션디자인, 의류, 패션잡화, B2C, 상품판매/브랜드/하드웨어"
위지윅스튜디오,,"VFX, 뉴미디어 등 특수영상 콘텐츠를 제작하는 기업",series A,450.0억원 이상,135.8억원,35,"콘텐츠/예술미디어, 영상/비디오, B2B, 콘텐츠, 교육/컨설팅/용역"
오버플러스파워,,수소 생산 및 환경유해물질 제거 솔루션을 제공하는 기업,비공개,1.0억원 이상,3.5억원,3,"제조/하드웨어, 환경/에너지부품, 기계장비, 제조기술, 수소에너지, 하드웨어"
링크플릭스,AD-CONI,"생분해 접착 소재, 수지를 개발 및 제조하는 기업",pre-A (추정),비공개,"4,572.8만원",7,"헬스케어/바이오, 제조/하드웨어, 환경/에너지바이오/의료, 제조기술, 하드웨어, B2B, ESG"
에이뉴트,DA,데이터셋 품질검증 솔루션 및 고객 맞춤형 AI 서비스를 제공하는 기업,비공개,비공개,15.3억원,,"통신/보안/데이터, AI/딥테크/블록체인데이터, 프로그래밍개발, 인공지능, B2B, 소프트웨어"
디알퓨얼셀,,수소발생기 모듈 및 청정수소추출기를 제조 및 판매하는 기업,비공개,비공개,"9,952.2만원",5,"제조/하드웨어, 환경/에너지기계장비, 제조기술, 수소에너지, 하드웨어, B2B"
슈퍼웍스컴퍼니,커스텀빌리지,커스텀 브랜드 창업 솔루션 서비스 '커스텀빌리지'를 운영하는 기업,비공개,비공개,8.3억원,8,"커머스, 패션이커머스, 의류, 패션잡화, 제조기술, B2B"
